Lang	Train	Dev	Tests
lez	OPUS_wikimedia_v20190628		
lfn	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
lij	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
lim	"OPUS_GNOME_v1, , OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
lin	"JW300,  OPUS_Tatoeba_v20190709"		
lit	"EESC2017, rapid2016, EMA2016, europarl_v10,  OPUS_DGT_v2019, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newsdev2019_lten, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	newstest2019_lten
liv	OPUS_Tatoeba_v20190709		
lkt	 OPUS_Tatoeba_v20190709		
lld	 OPUS_Tatoeba_v20190709		
lmo	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
loz	JW300		
lrc	OPUS_wikimedia_v20190628		
lsp	JW300		
ltz	"  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
lua	JW300		
lub	JW300		
lue	JW300		
lug	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
lun	JW300		
luo	"JW300, "		
lus	JW300		
lzh	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
mad	 OPUS_Tatoeba_v20190709		
mah	"JW300, OPUS_Tatoeba_v20190709"		
mai	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
mal	"JW300,OPUS_Tatoeba_v20190709,JoshuaIndianCorpus_training,pmindia_v1, OPUS_Tanzil_v1, OPUS100v1_train, WikiMatrix_v1"	"JoshuaIndianCorpus_dev, OPUS100v1_dev, OPUS100v1_test"	JoshuaIndianCorpus_test
mam	"JW300, OPUS_bible_uedin_v1"		
mar	"JW300,   OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, pmindia_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
mau	JW300		
max	OPUS_Tatoeba_v20190709		
mco	JW300		
mdf	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
men	JW300		
mfe	"JW300,  OPUS_Tatoeba_v20190709"		
mfs	JW300		
mgm	OPUS_Tatoeba_v20190709		
mgr	JW300		
mhr	OPUS_Tatoeba_v20190709		
mic	OPUS_Tatoeba_v20190709		
min	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
miq	OPUS_Ubuntu_v14_10		
mkd	"GlobalVoices_2018Q4, OPUS_SETIMES_v2, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
mlg	"GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
mlt	"EESC2017, EMA2016, rapid2016, OPUS_DGT_v2019, OPUS_EMEA_v3, OPUS_EUbookshop_v2, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
mni	pmindia_v1		
mnw	OPUS_Tatoeba_v20190709		
mon	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, neulab_tedtalksv1_train"	", neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
mos	"JW300, "		
mri	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628"		
mrj	OPUS_wikimedia_v20190628		
msa	"OPUS_GNOME_v1,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tanzil_v1, OPUS100v1_train, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
mvv	OPUS_Tatoeba_v20190709		
mwl	"OPUS_Tatoeba_v20190709, WikiMatrix_v1"		
mww	OPUS_Tatoeba_v20190709		
mxv	JW300		
mya	"GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
myv	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
mzn	OPUS_wikimedia_v20190628		
mzy	JW300		
nan	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
nap	"OPUS_Ubuntu_v14_10, OPUS_wikimedia_v20190628"		
nau	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
nav	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
nba	JW300		
nch	"JW300, OPUS_Tatoeba_v20190709"		
ncj	JW300		
ncs	JW300		
ncx	JW300		
ndc	JW300		
ndo	JW300		
nds	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, WikiMatrix_v1"		
nep	"GlobalVoices_2018Q4, JW300,   OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
new	OPUS_wikimedia_v20190628		
ngl	JW300		
ngt	OPUS_Tatoeba_v20190709		
ngu	"JW300, OPUS_Tatoeba_v20190709"		
nhg	OPUS_bible_uedin_v1		
nhn	OPUS_GNOME_v1		
nia	JW300		
nij	JW300		
niu	"JW300, OPUS_Tatoeba_v20190709"		
nld	"EESC2017, rapid2016, EMA2016, news_commentary_v14, OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
nlv	OPUS_Tatoeba_v20190709		
nno	"OPUS_GNOME_v1,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
nog	OPUS_Tatoeba_v20190709		
non	OPUS_Tatoeba_v20190709		
nor	"EMA2016,rapid2016,OPUS_OpenSubtitles_v2018,JW300, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
nov	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
npi	OPUS_Tatoeba_v20190709		
nso	"JW300,  OPUS_wikimedia_v20190628"		
nst	OPUS_Tatoeba_v20190709		
nya	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
nyk	JW300		
nyn	JW300		
nyu	JW300		
nzi	JW300		
oar	OPUS_Tatoeba_v20190709		
oci	"OPUS_GNOME_v1,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
ojb	OPUS_bible_uedin_v1		
oji	OPUS_Ubuntu_v14_10		
oke	JW300		
ori	"GlobalVoices_2018Q4, OPUS_GlobalVoices_v2017q3,   OPUS_Tatoeba_v20190709, pmindia_v1, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
orm	"JW300,  OPUS_wikimedia_v20190628"		
orv	OPUS_Tatoeba_v20190709		
oss	"JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
ota	OPUS_Tatoeba_v20190709		
pag	"JW300, OPUS_Tatoeba_v20190709"		
pam	" OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
pan	"GlobalVoices_2018Q4, JW300,   OPUS_Tatoeba_v20190709, pmindia_v1, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
pap	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
pau	OPUS_Tatoeba_v20190709		
pck	OPUS_bible_uedin_v1		
pcm	JW300		
pdc	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
pdt	JW300		
pes	"OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1"		
pfl	OPUS_wikimedia_v20190628		
pih	OPUS_wikimedia_v20190628		
pis	JW300		
plt	OPUS_bible_uedin_v1		
pms	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
pmy	OPUS_Ubuntu_v14_10		
pnb	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
pnt	OPUS_wikimedia_v20190628		
pol	"europarl_v10, EESC2017, rapid2019, OPUS_DGT_v2019, OPUS_EUbookshop_v2, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	newsdev2020_plen
pon	JW300		
por	"news_commentary_v14, GlobalVoices_2018Q4, EESC2017, rapid2016, OPUS_EUbookshop_v2,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
pot	OPUS_bible_uedin_v1		
ppk	OPUS_bible_uedin_v1		
ppl	OPUS_Tatoeba_v20190709		
prg	OPUS_Tatoeba_v20190709		
prl	JW300		
pso	JW300		
psp	JW300		
psr	JW300		
pus	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, bible_clean, gnome, kde4, tatoeba, ted_wmt20, OPUS100v1_train"	"wikipedia_dev_psen, OPUS100v1_dev, OPUS100v1_test"	wikipedia_devtest_psen
pys	JW300		
quc	"OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1"		
que	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
qug	JW300		
quw	OPUS_bible_uedin_v1		
quy	JW300		
quz	JW300		
qvi	JW300		
qya	OPUS_Tatoeba_v20190709		
rap	OPUS_Tatoeba_v20190709		
rar	JW300		
rif	OPUS_Tatoeba_v20190709		
rmn	JW300		
rms	JW300		
rmy	OPUS_wikimedia_v20190628		
rnd	JW300		
roh	 OPUS_Tatoeba_v20190709		
rom	"OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1"		
ron	"GlobalVoices_2018Q4, EESC2017, rapid2016, EMA2016,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
rsl	JW300		
rue	OPUS_Tatoeba_v20190709		
run	"JW300,  OPUS_Tatoeba_v20190709"		
rus	"wmt13_commoncrawl, news_commentary_v14, OPUS_UNPC_v1_0, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newstest2018_ruen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	"UNv1_test, newstest2019_ruen"
sag	"JW300,  OPUS_Tatoeba_v20190709"		
sah	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
san	" OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
sat	OPUS_wikimedia_v20190628		
scn	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
sco	" OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
seh	JW300		
sfs	JW300		
sgs	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
shi	OPUS_bible_uedin_v1		
shn	OPUS_Ubuntu_v14_10		
shs	OPUS_Tatoeba_v20190709		
sid	JW300		
sin	"JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
sjn	OPUS_Tatoeba_v20190709		
slk	"EESC2017, EMA2016,rapid2016,OPUS_DGT_v2019,OPUS_EUbookshop_v2,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
slv	"EESC2017, EMA2016, OPUS_DGT_v2019,OPUS_EUbookshop_v2, rapid2016,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
sma	OPUS_Tatoeba_v20190709		
sme	" OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
sml	OPUS_Ubuntu_v14_10		
smo	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
sna	"JW300,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628"		
snd	" OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
som	"OPUS_GNOME_v1,  OPUS_Tanzil_v1, OPUS_bible_uedin_v1, OPUS_infopankki_v1, OPUS_wikimedia_v20190628"		
sop	JW300		
spa	"wmt13_commoncrawl, news_commentary_v14, EESC2017, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newstest2012, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	"newstest2013, UNv1_test"
sqi	"OPUS_SETIMES_v2,GlobalVoices_2018Q4,OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
srd	" OPUS_sardware_v1, OPUS_wikimedia_v20190628"		
srm	JW300		
srn	"JW300, OPUS_wikimedia_v20190628"		
srp	"GlobalVoices_2018Q4,OPUS_OpenSubtitles_v2018,OPUS_TildeMODEL_v2018,OPUS_Tatoeba_v20190709,OPUS_SETIMES_v2, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
ssp	JW300		
ssw	"JW300, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628"		
sun	"JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
sux	OPUS_Tatoeba_v20190709		
svk	JW300		
swa	"GlobalVoices_2018Q4, JW300, OPUS_EUbookshop_v2, OPUS_GlobalVoices_v2017q3,  OPUS_Tanzil_v1, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
swc	JW300		
swe	"EESC2017, EMA2016, GlobalVoices_2018Q4,rapid2016,OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
swg	OPUS_Tatoeba_v20190709		
swh	OPUS_Tatoeba_v20190709		
sxn	JW300		
syr	"OPUS_Ubuntu_v14_10, OPUS_bible_uedin_v1"		
szl	"OPUS_GNOME_v1,  OPUS_wikimedia_v20190628"		
tah	"JW300, OPUS_Tatoeba_v20190709"		
tam	"JoshuaIndianCorpus_training, pmindia_v1, wiki_titles_v2, JW300,JoshuaIndianCorpus_dict, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newsdev2020_taen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	JoshuaIndianCorpus_test
tat	"JW300,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
tcf	JW300		
tcy	OPUS_wikimedia_v20190628		
tdt	JW300		
tel	"JW300,OPUS_Tatoeba_v20190709,JoshuaIndianCorpus_training,pmindia_v1, OPUS100v1_train, WikiMatrix_v1"	"JoshuaIndianCorpus_dev, OPUS100v1_dev, OPUS100v1_test"	JoshuaIndianCorpus_test
tet	"GlobalVoices_2018Q4,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
tgk	"JW300,   OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
tgl	"JW300, OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, WikiMatrix_v1"		
tha	"JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
tir	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
tiv	JW300		
tlh	 OPUS_Tatoeba_v20190709		
tll	JW300		
tly	OPUS_Tatoeba_v20190709		
tmh	OPUS_bible_uedin_v1		
tmw	OPUS_Tatoeba_v20190709		
tog	JW300		
toh	JW300		
toi	JW300		
toj	JW300		
ton	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
top	JW300		
tpi	"JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
tpw	OPUS_Tatoeba_v20190709		
trv	OPUS_Ubuntu_v14_10		
tsc	JW300		
tsn	"JW300, OPUS_wikimedia_v20190628"		
tso	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
tss	JW300		
tsz	JW300		
ttj	JW300		
tuk	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
tum	"JW300, OPUS_wikimedia_v20190628"		
tur	"GlobalVoices_2018Q4, OPUS_Tanzil_v1, OPUS_OpenSubtitles_v2018, OPUS_SETIMES_v2, OPUS_TED2013_v1_1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newstest2017_tren, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	newstest2018_tren
tvl	"JW300, OPUS_Tatoeba_v20190709"		
twi	"JW300,  OPUS_wikimedia_v20190628"		
tyv	"JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
tzh	JW300		
tzl	OPUS_Tatoeba_v20190709		
tzo	JW300		
udm	"JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
uig	"OPUS_GNOME_v1,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
ukr	"JW300,OPUS_OpenSubtitles_v2018,OPUS_TildeMODEL_v2018, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
umb	"JW300,  OPUS_Tatoeba_v20190709"		
urd	"GlobalVoices_2018Q4,JoshuaIndianCorpus_dict,JoshuaIndianCorpus_training,pmindia_v1,OPUS_Tatoeba_v20190709,JW300,OPUS_Tanzil_v1, OPUS100v1_train, neulab_tedtalksv1_train"	"JoshuaIndianCorpus_dev, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	JoshuaIndianCorpus_test
urh	JW300		
usp	OPUS_bible_uedin_v1		
uzb	"OPUS_GNOME_v1,   OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
vec	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
ven	"JW300,  OPUS_wikimedia_v20190628"		
vie	"JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_Wikipedia_v1_0, OPUS_bible_uedin_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
vmw	JW300		
vol	" OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
vro	OPUS_Tatoeba_v20190709		
vsl	JW300		
wae	OPUS_Ubuntu_v14_10		
wal	"JW300, OPUS_bible_uedin_v1"		
war	"JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
wes	JW300		
wln	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
wls	JW300		
wol	" OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1"		
wuu	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
xal	OPUS_Tatoeba_v20190709		
xho	"OPUS_memat_v1,OPUS_XhosaNavy_v1, JW300, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
xmf	"JW300, OPUS_wikimedia_v20190628"		
yao	JW300		
yap	JW300		
yid	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
yor	"GlobalVoices_2018Q4, JW300,  OPUS_Tatoeba_v20190709, OPUS100v1_train"		
yua	JW300		
yue	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
zai	JW300		
zha	 OPUS_wikimedia_v20190628		
zho	"GlobalVoices_2018Q4, news_commentary_v14, OPUS_UNPC_v1_0, OPUS_MultiUN_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newstest2018_zhen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	"newstest2019_zhen, UNv1_test"
zib	JW300		
zlm	"JW300, OPUS_Tatoeba_v20190709"		
zne	JW300		
zpa	JW300		
zsl	JW300		
zsm	OPUS_Tatoeba_v20190709		
zul	"JW300,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
zza	OPUS_Tatoeba_v20190709		