Lang	Sents	Source	English
abk	23161	292717	423050
ace	446	2783	2409
ach	73172	1496706	1325711
acm	11	63	88
acu	12347	349234	328050
ada	63021	1669121	1131992
ady	9	38	40
aed	12390	248120	251486
afb	69	303	370
afh	10	46	54
afr	1164819	22720174	21574598
agr	12778	295678	338609
ain	26	117	154
aka	61	2214	2225
ake	12346	493819	326593
akl	14	63	52
aln	25	133	134
alt	3764	52407	70386
alz	7567	154509	133119
amh	669145	9765847	14326330
ami	9156	186011	175520
amu	15533	566676	411225
ang	993	4273	4088
aoz	11	52	56
apc	15	69	95
ara	22679389	588552279	673442592
arc	1	2	2
arg	82038	1641632	1535954
arn	16737	275559	296456
arq	919	5587	7531
ary	41	148	216
arz	54590	927189	1089748
ase	538	8038	8382
asf	149	2413	2322
asm	94568	1027775	1390206
ast	9261	59964	54602
atj	1	48	43
avk	157	933	1221
awa	248	1249	1246
aym	138760	1939507	2710890
aze	693153	10806686	12639115
bak	88618	1216200	1580575
bal	22	99	81
bam	5	18	17
bar	58409	796255	908588
bas	27771	616191	496676
bbc	35181	574823	619966
bci	142169	3685710	2597887
bcl	451274	9946706	8765221
bel	290072	3469541	4206848
bem	381297	6526989	7171421
ben	1469860	22481515	23509544
bfi	384	7005	8302
bho	55	858	908
bhw	22261	366474	381127
bin	11635	261717	208326
bis	476064	11972512	9034190
bod	1029	17081	6956
bos	12903765	108980163	134352300
bpy	1	2	2
bre	129742	1301922	1286455
brx	23	86	101
bsn	11180	681542	291888
bts	14255	233806	238303
btx	27295	436554	470088
bua	17	70	83
bul	2755198	47511112	50192767
bum	27996	624348	494140
bvl	98	1188	1391
bvy	23	157	163
bxr	44	1221	1658
byn	1	2	2
bzj	6905	136165	119827
bzs	110679	2044945	2065232
cab	59416	1016417	1095937
cak	46427	1293345	962624
cat	3151150	66838920	60317575
cbk	2423	17255	16912
cce	17935	346295	303153
ceb	1177127	23461502	21304716
ces	3986495	64539275	74129349
cha	14539	316758	350061
che	15	146	114
chk	207347	4363629	4031326
cho	107	595	624
chq	14251	912859	366313
chr	15746	287938	416623
chv	68211	1032279	1302667
chw	17988	252729	299706
cjk	35767	601420	627383
cjp	15155	608344	400614
cjy	5	35	23
ckb	1040	4332	4400
ckt	1	3	5
cmn	44110	487138	374935
cnh	27733	554298	477786
cni	15264	331249	404004
cop	15706	256370	416296
cor	4105	24498	23815
cos	75	2984	2880
crh	1361	8351	8996
crs	188361	3847882	3528139
csb	892	4280	4070
cse	11655	179085	210357
csf	117	1816	1946
csg	329	4320	4734
csl	17874	494654	348101
csn	3428	71580	70847
csr	8	86	85
ctu	26462	547357	478157
cym	99826	1055852	937929
dan	7682343	163476497	173310159
deu	12119459	245035715	254126788
dhv	58875	1504920	1078197
dik	13319	383777	353980
din	1	5	1
diq	74	1924	2669
div	85159	2441892	2350351
dje	60515	1924044	1780607
djk	52628	1458098	1038818
dng	6	27	32
dop	15711	558508	416290
dsb	37	471	677
dtp	1831	12814	12803
dty	24	874	804
dua	15351	444826	269185
dws	9	37	48
dyu	14886	322319	258596
dzo	449	8250	2871
ecs	2019	38677	39731
efi	332589	7312421	6298566
egl	81	499	456
ell	6835717	155615617	154230888
epo	1273333	20025116	20887797
esn	13	99	120
est	5788575	94125966	120585810
eus	2101130	24427549	30827665
ewe	588735	12826778	11227502
ext	65	588	628
fao	75612	1194153	1534477
fas	8054223	96700032	103579635
fcs	13034	253315	239624
fij	357673	7837220	6726164
fil	2125	51507	47398
fin	8187935	131239231	172686863
fkv	56	528	622
fon	31273	865700	552748
fra	33010111	1001694594	862394235
frm	17	207	220
frp	473	1820	1485
fry	174498	2726426	3360333
fse	21671	298224	400110
fsl	2862	58931	56227
fuc	6	21	26
ful	1	7	3
fur	5791	42727	37760
fuv	29	133	157
gaa	409659	9284738	7868224
gan	3	26	18
gbi	15023	624914	398145
gbm	34	162	144
gcf	78	464	446
gil	203252	4762950	3888542
gla	8444	108564	87714
gle	1770628	48936403	45855008
glg	1270160	23281744	22762444
glk	12	268	521
glv	11006	261914	232828
gom	722	24148	26834
gor	111	4034	4651
gos	986	4727	4963
got	207	4340	1698
grc	568	3778	4845
grn	229	1883	2577
gsg	16400	268254	298220
gss	7090	137633	140185
gsw	220	1914	2052
guc	53537	826821	985121
gug	143391	2151216	2742729
guj	420729	4899065	6961346
guw	286899	6650627	5431468
gym	78796	1624979	1459454
hak	3	16	15
hat	197201	4438519	3630101
hau	295829	6459154	5881574
haw	94	824	874
hds	12	94	139
heb	25841585	224902346	283316533
her	8179	151589	141558
hif	45	777	1044
hil	807375	17432476	15442425
hin	2211381	41452435	38163209
hmn	41806	906741	729196
hmo	227759	4781868	4314100
hne	52059	322484	263135
hnj	4	25	20
hoc	631	3038	3520
hrv	2304149	34755332	39315927
hrx	214	1300	1247
hsb	36	194	235
hsh	13877	214890	256618
hsn	3	21	15
hun	6785904	124670924	140421813
hye	382378	5779847	7504431
iba	34577	614600	591325
ibg	30270	568962	537232
ibo	415234	10075710	7737716
ido	46163	763729	831713
ike	43	138	245
iku	5244	66528	113112
ile	2570	16439	16599
ilo	898926	17814296	17022059
ina	12194	101705	99401
ind	3441203	63578787	64369133
inl	206	2459	2814
ins	208	1754	1905
ise	79874	1497912	1527368
ish	5221	112815	91400
isl	1112770	10987587	13281910
iso	215449	4917558	4047680
ita	10095386	244588092	245359909
izh	4	14	15
jak	15513	564458	411137
jam	61	2060	2166
jav	73185	1177647	1442806
jbo	11470	88384	83024
jdt	2	6	9
jiv	12910	272452	342885
jpn	5379355	111898280	95783174
jsl	83773	2223227	1528544
kab	38018	758336	550414
kac	10930	270098	184701
kal	191660	2206906	3610449
kam	51054	959249	932972
kan	327475	4029042	7429653
kas	701	3855	3743
kat	677998	7474496	11906197
kau	285	2936	1453
kaz	248822	1652871	1906753
kbh	10287	384331	272175
kbp	29066	618571	521923
kea	5217	102331	90402
kek	63350	2231030	1836968
kha	1277	9156	8623
khm	150117	2966056	2683112
kik	94242	1714356	1737121
kin	488086	8493687	9135649
kir	283308	3984657	5499207
kjh	16	63	77
kmb	90341	1960969	1617965
kmr	14798	273245	260963
koi	14	68	85
kom	1	117	98
kon	206234	4417086	3883443
koo	36378	575840	642178
kor	3907008	124773196	67101857
kpv	12	35	44
kqn	219170	3727122	4097908
kri	42349	999510	752221
krl	135	655	682
ksh	23	385	358
kss	37693	773744	655897
ksw	26363	1264404	545235
kua	99227	1932349	1830081
kum	7	30	46
kur	111126	3090640	2729572
kvk	9330	321614	194428
kwn	106595	1709040	1939056
kwy	169875	2964934	3119715
lad	371	2196	2412
lam	14846	240797	271580
lao	22217	697242	462713
lat	203175	2912205	4180355
lav	4460210	88412493	104312482
ldn	76	464	430
lez	1	108	75
lfn	3443	26131	24227
lij	52	419	385
lim	4491	25040	24410
lin	536198	10804478	10179883
lit	5139565	95332259	113401294
liv	29	150	176
lkt	18	83	99
lld	20	225	227
lmo	39461	864899	827408
loz	411874	9495543	7872336
lrc	1	2	2
lsp	1	5	5
ltz	92860	1400718	1744759
lua	292212	5517519	5532234
lub	197423	3541419	3742176
lue	317092	4717517	6023708
lug	224749	3731957	4261136
lun	134578	1857219	2482581
luo	136625	2603306	2502410
lus	187503	4290199	3534861
lzh	531	5024	6379
mad	5	47	36
mah	233516	5757879	4448457
mai	4256	23102	20698
mal	1042337	10594525	17246958
mam	57254	1424153	1171359
mar	625462	8315779	11844853
mau	27544	496580	499460
max	268	1981	1857
mco	66222	1102029	1263381
mdf	8	33	42
men	1668	36531	28675
mfe	181560	4068226	3367397
mfs	63494	1247858	1253416
mgm	33	282	307
mgr	43911	731912	785222
mhr	69	379	482
mic	7	23	33
min	330	11492	11998
miq	66	165	158
mkd	1898346	29456395	31284559
mlg	826222	17981469	16408357
mlt	3079369	85936755	71180461
mni	7281	127875	162599
mnw	8	62	82
mon	169290	2406026	3330866
mos	186434	4706515	3517104
mri	62963	2151493	1807107
msa	1945672	16671082	18053859
mvv	8	33	40
mwl	31518	742141	746747
mww	74	497	408
mxv	5924	176367	105471
mya	510083	12713472	11545908
myv	33	239	300
mzn	47	770	1002
mzy	244	4364	4447
nan	88	2352	1894
nap	29	299	249
nau	15	71	101
nav	14626	229364	248195
nba	27317	553352	469851
nch	31018	475377	561258
ncj	59251	963782	1092104
ncs	2	10	10
ncx	36422	523049	654865
ndc	30369	488763	527840
ndo	99817	1864378	1810583
nds	185909	2927867	3456271
nep	444058	5427354	8183887
new	38	993	1101
ngl	39339	596790	693966
ngt	15	92	97
ngu	29768	462975	535371
nhg	15459	408868	409271
nhn	1	3	3
nia	34280	582906	604629
nij	13158	213322	222299
niu	214222	5416864	3993808
nld	12428300	278665986	281604016
nlv	14	137	154
nno	139111	1113937	1116261
nog	80	326	464
non	13	134	136
nor	10860768	126923739	142425026
nov	187	1268	1296
npi	98	380	457
nso	555777	13718112	10567895
nst	769	5773	4794
nya	778089	12958088	14921565
nyk	116364	1753649	2133198
nyn	50379	806471	912254
nyu	24491	419713	427580
nzi	92884	1798852	1685594
oar	4	48	52
oci	182542	3606108	3536378
ojb	13318	290036	353940
oji	3	23	29
oke	22471	458573	401423
ori	49192	698991	832456
orm	155084	2646041	2858967
orv	313	1749	2144
oss	225664	3811618	4404414
ota	622	3564	4032
pag	282341	5602136	5351754
pam	1448	8955	10276
pan	394938	6569439	7564168
pap	381796	8155628	7213489
pau	24	120	119
pck	61173	1773303	1799998
pcm	22001	465750	394764
pdc	65	706	734
pdt	6019	115997	104913
pes	64142	1508974	1791906
pfl	1	2	2
pih	39	1425	1195
pis	263681	5313880	5010374
plt	60810	1843559	1789347
pms	263	2626	2133
pmy	41	189	186
pnb	31	204	194
pnt	5	300	301
pol	8289276	151588493	169532813
pon	218908	4397432	4185579
por	10954498	279392943	264796337
pot	4113	108987	110373
ppk	14576	660598	384278
ppl	29	163	208
prg	213	1526	1717
prl	529	8562	9567
pso	20433	312201	379785
psr	3655	70060	69174
pus	28260	483360	421907
pys	90	971	1150
quc	15575	616986	412280
que	134194	1739523	2543319
qug	20272	247947	349776
quw	15674	292905	415461
quy	113702	1402781	2164966
quz	127408	1649454	2450616
qvi	50527	672711	921493
qya	100	423	581
rap	22	134	102
rar	66762	1613321	1170921
rif	34	145	170
rmn	14527	257259	241449
rms	10434	198109	193459
rmy	10	522	467
rnd	133631	2443228	2446692
roh	16	205	216
rom	16048	422362	411993
ron	2871321	52945536	51780651
rsl	44582	702400	856169
rue	113	479	683
run	364103	6521655	6836527
rus	25564367	640353439	682207974
sag	250019	6554737	4779729
sah	65	1042	1537
san	150	725	887
sat	101	3263	3604
scn	4	42	44
sco	853	40927	41327
seh	52334	856758	945244
sfs	30	380	428
sgs	43	199	356
shi	15288	637003	404390
shn	150	1926	652
shs	39	243	207
sid	46851	686888	847841
sin	1141931	11643363	16436631
sjn	31	157	186
slk	5689766	111471118	125492209
slv	6227413	123184373	135429495
sma	44	178	216
sme	18433	96152	100433
sml	5	17	12
smo	364010	9262113	6940694
sna	763546	11391280	15229553
snd	86214	2580903	2566710
som	161865	3646152	4573785
sop	51070	938990	927422
spa	9776966	229401449	212893081
sqi	1659043	28953259	28389962
srd	5836	50985	43786
srm	34739	848933	597203
srn	546788	14002996	10719800
srp	33880099	279793956	343470174
ssp	21242	387212	395815
ssw	116170	1690313	2238351
sun	15850	250374	272390
sux	36	203	186
svk	10141	159092	182557
swa	975456	17407097	19155309
swc	271892	4583791	4937615
swe	8024230	156259227	175706578
swg	16	101	98
swh	369	1826	2522
sxn	11668	228088	195463
syr	15747	217478	415892
szl	34	153	177
tah	547403	16474812	10587464
tam	1020167	11400283	17989394
tat	378375	6070274	7401723
tcf	34679	847824	627050
tcy	47	1265	1541
tdt	112041	2385376	2107083
tel	557715	6533017	9246609
tet	406	11359	10648
tgk	286675	4184663	4873294
tgl	1307417	28950146	26087793
tha	4003627	55716180	49463563
tir	320856	4953825	6288908
tiv	184113	4810668	3469806
tlh	12602	76817	87087
tll	222225	4233529	4185359
tly	43	148	207
tmh	5363	168471	152620
tmw	5	23	34
tog	67113	1053514	1231614
toh	3898	78079	65345
toi	291857	4344007	5468385
toj	33805	667730	606099
ton	323838	11087182	6085262
top	86769	1345448	1620933
tpi	383675	9120242	7162905
tpw	87	520	518
trv	11	77	72
tsc	84311	1911340	1534506
tsn	780798	20008782	14855070
tso	757853	17309341	14474201
tss	12298	357723	239608
tsz	4939	79259	89766
ttj	16442	252981	280979
tuk	121578	1730753	2231716
tum	232540	3622880	4347800
tur	37720743	282136509	386742077
tvl	172371	4970984	3302688
twi	537268	11294035	10174586
tyv	12979	197520	245669
tzh	22481	529093	408029
tzl	108	480	483
tzo	140124	2993791	2679819
udm	9394	147593	173612
uig	84928	2088135	2239573
ukr	4446827	66084956	75462511
umb	212228	3988296	3939817
urd	1121988	28181194	26194588
urh	29347	593673	530354
usp	15583	500341	412979
uzb	137566	2233702	2360392
vec	17	128	123
ven	204407	5057268	3782533
vie	6186692	112645134	91410645
vmw	72847	1181569	1328856
vol	2338	12510	15481
vro	8	75	92
vsl	958	17798	18472
wae	512	2416	2483
wal	120608	1844136	2325431
war	281941	6216918	5338684
wes	28159	642670	499592
wln	41887	301028	210120
wls	154488	3981535	2871012
wol	15230	402534	403295
wuu	46633	1437243	1075055
xal	268	1624	2041
xho	993668	13026040	17543214
xmf	12946	169159	262169
yao	43689	675341	791700
yap	212548	6219777	4078280
yid	4039	32533	33128
yor	411461	12671491	7668947
yua	168299	3524830	3301268
yue	5681	77996	62414
zai	146783	2741722	2741357
zho	20057876	827184155	563720365
zib	356	9497	9249
zlm	72676	1139427	1372948
zne	190082	4401103	3602098
zpa	359	6326	6549
zsl	96	2299	1915
zsm	1158	9170	10106
zul	964117	13671887	18412040
zza	505	2895	3194

Total	473791770	9001780032	9072887211
